"","age","sex","N","year"
"1",0,"male",149079.567742878,2010
"2",1,"male",101826.304292592,2010
"3",5,"male",135997.997474205,2010
"4",10,"male",136816.272688622,2010
"5",15,"male",135188.319696973,2010
"6",20,"male",105621.952529221,2010
"7",25,"male",88353.1240204352,2010
"8",30,"male",84464.2966272452,2010
"9",35,"male",82865.9061093031,2010
"10",40,"male",71843.2857773697,2010
"11",45,"male",61947.6331895629,2010
"12",50,"male",53626.1508631603,2010
"13",55,"male",42592.8316843734,2010
"14",60,"male",34985.9589211719,2010
"15",65,"male",27546.5998212631,2010
"16",70,"male",24211.2559140495,2010
"17",75,"male",16946.8333723153,2010
"18",80,"male",11124.9165499128,2010
"19",85,"male",9230.55160358244,2010
"20",0,"female",144583.655923833,2010
"21",1,"female",98553.9379239262,2010
"22",5,"female",132857.781248522,2010
"23",10,"female",133299.777160745,2010
"24",15,"female",134450.092463884,2010
"25",20,"female",114123.500692863,2010
"26",25,"female",100813.979596382,2010
"27",30,"female",95833.3776144546,2010
"28",35,"female",92809.0909008453,2010
"29",40,"female",80582.6895809669,2010
"30",45,"female",69344.2850980938,2010
"31",50,"female",58967.0812766553,2010
"32",55,"female",44950.2286564201,2010
"33",60,"female",38034.0135029424,2010
"34",65,"female",29168.9923301873,2010
"35",70,"female",26026.0842776988,2010
"36",75,"female",17768.8278879443,2010
"37",80,"female",12216.0437905369,2010
"38",85,"female",10898.9134534651,2010
"39",0,"male",138347.115240311,2019
"40",1,"male",95589.2419868298,2019
"41",5,"male",123871.352948226,2019
"42",10,"male",128855.282499268,2019
"43",15,"male",128492.265172066,2019
"44",20,"male",112846.018132317,2019
"45",25,"male",104641.473224693,2019
"46",30,"male",95807.4256542573,2019
"47",35,"male",90134.7592140712,2019
"48",40,"male",84332.7629304146,2019
"49",45,"male",79141.0284743862,2019
"50",50,"male",70884.9560180734,2019
"51",55,"male",57891.1894691232,2019
"52",60,"male",49655.695270524,2019
"53",65,"male",38227.1339977967,2019
"54",70,"male",29680.5819092397,2019
"55",75,"male",21852.2423444969,2019
"56",80,"male",14608.2153433737,2019
"57",85,"male",13210.3089300401,2019
"58",0,"female",136354.959278211,2019
"59",1,"female",93826.1810065282,2019
"60",5,"female",120658.310410886,2019
"61",10,"female",125141.13571344,2019
"62",15,"female",126419.033101831,2019
"63",20,"female",118361.781545432,2019
"64",25,"female",113846.955823468,2019
"65",30,"female",106641.194880802,2019
"66",35,"female",100605.83205213,2019
"67",40,"female",93673.3715930367,2019
"68",45,"female",87211.1026942036,2019
"69",50,"female",79423.8905517419,2019
"70",55,"female",64616.2740515917,2019
"71",60,"female",54998.3864011361,2019
"72",65,"female",41826.1611358563,2019
"73",70,"female",32438.743279553,2019
"74",75,"female",23206.5251200628,2019
"75",80,"female",16896.9092884812,2019
"76",85,"female",16236.1661547705,2019
"77",0,"male",136069.076544915,2021
"78",1,"male",94255.9561818328,2021
"79",5,"male",121326.923409626,2021
"80",10,"male",127150.055678291,2021
"81",15,"male",127049.88537709,2021
"82",20,"male",114517.310203551,2021
"83",25,"male",108650.859023051,2021
"84",30,"male",98528.1899255171,2021
"85",35,"male",91834.7531055615,2021
"86",40,"male",87390.7063325196,2021
"87",45,"male",83568.194035574,2021
"88",50,"male",75419.282448854,2021
"89",55,"male",61976.8290842837,2021
"90",60,"male",53673.9521942023,2021
"91",65,"male",41114.4790674439,2021
"92",70,"male",31054.8258901495,2021
"93",75,"male",23122.2981510692,2021
"94",80,"male",15519.8007085411,2021
"95",85,"male",14305.7197052576,2021
"96",0,"female",134590.92199916,2021
"97",1,"female",92806.7593240015,2021
"98",5,"female",118103.219936068,2021
"99",10,"female",123397.02380076,2021
"100",15,"female",124700.536499551,2021
"101",20,"female",119324.794547471,2021
"102",25,"female",116964.724777006,2021
"103",30,"female",109203.84693766,2021
"104",35,"female",102425.522481538,2021
"105",40,"female",96859.8506601628,2021
"106",45,"female",91769.0988764922,2021
"107",50,"female",84858.1810141274,2021
"108",55,"female",70043.2610654553,2021
"109",60,"female",59695.9698975379,2021
"110",65,"female",45313.9259572189,2021
"111",70,"female",34065.9676265073,2021
"112",75,"female",24625.0475923568,2021
"113",80,"female",18159.889603213,2021
"114",85,"female",17739.8611653732,2021
