"year","sex","age","deaths"
1990,"male",0,1.02304147465438
1990,"male",1,1.02304147465438
1990,"male",10,4.09216589861751
1990,"male",15,33.7603686635945
1990,"male",20,26.5990783410138
1990,"male",25,30.6912442396313
1990,"male",30,22.5069124423963
1990,"male",35,27.6221198156682
1990,"male",40,14.3225806451613
1990,"male",45,15.3456221198157
1990,"male",50,11.2534562211982
1990,"male",55,11.2534562211982
1990,"male",60,6.13824884792627
1990,"male",65,10.2304147465438
1990,"male",70,2.04608294930876
1990,"male",80,2.04608294930876
1990,"male",85,2.04608294930876
1991,"male",1,1.01020408163265
1991,"male",5,3.03061224489796
1991,"male",10,4.04081632653061
1991,"male",15,33.3367346938776
1991,"male",20,47.4795918367347
1991,"male",25,17.1734693877551
1991,"male",30,20.2040816326531
1991,"male",35,11.1122448979592
1991,"male",40,11.1122448979592
1991,"male",45,11.1122448979592
1991,"male",50,11.1122448979592
1991,"male",55,12.1224489795918
1991,"male",60,5.05102040816327
1991,"male",65,3.03061224489796
1991,"male",70,4.04081632653061
1991,"male",80,2.02040816326531
1991,"male",85,1.01020408163265
1992,"male",0,2.01574803149606
1992,"male",1,2.01574803149606
1992,"male",5,0
1992,"male",10,2.01574803149606
1992,"male",15,40.3149606299213
1992,"male",20,57.4488188976378
1992,"male",25,28.2204724409449
1992,"male",30,26.2047244094488
1992,"male",35,14.1102362204724
1992,"male",40,13.1023622047244
1992,"male",45,16.1259842519685
1992,"male",50,22.1732283464567
1992,"male",55,8.06299212598425
1992,"male",60,5.03937007874016
1992,"male",65,8.06299212598425
1992,"male",70,4.03149606299213
1992,"male",75,4.03149606299213
1992,"male",80,2.01574803149606
1992,"male",85,1.00787401574803
1993,"male",1,2.05714285714286
1993,"male",5,1.02857142857143
1993,"male",10,4.11428571428571
1993,"male",15,30.8571428571429
1993,"male",20,48.3428571428571
1993,"male",25,19.5428571428571
1993,"male",30,21.6
1993,"male",35,22.6285714285714
1993,"male",40,14.4
1993,"male",45,16.4571428571429
1993,"male",50,11.3142857142857
1993,"male",55,7.2
1993,"male",60,5.14285714285714
1993,"male",65,8.22857142857143
1993,"male",70,3.08571428571429
1993,"male",80,0
1994,"male",5,4.01801801801802
1994,"male",10,2.00900900900901
1994,"male",15,37.1666666666667
1994,"male",20,31.1396396396396
1994,"male",25,31.1396396396396
1994,"male",30,31.1396396396396
1994,"male",35,18.0810810810811
1994,"male",40,19.0855855855856
1994,"male",45,15.0675675675676
1994,"male",50,12.0540540540541
1994,"male",55,6.02702702702703
1994,"male",60,5.02252252252252
1994,"male",65,1.0045045045045
1994,"male",70,6.02702702702703
