"year","sex","age","deaths"
1990,"male",0,909.171094540419
1990,"male",1,264.96498821019
1990,"male",5,101.478967728978
1990,"male",10,94.8689715796371
1990,"male",15,165.516078075111
1990,"male",20,157.764222316793
1990,"male",25,173.019405479875
1990,"male",30,170.220587304056
1990,"male",35,196.497702269992
1990,"male",40,169.553055589139
1990,"male",45,214.969052621944
1990,"male",50,230.714862675006
1990,"male",55,301.764069173526
1990,"male",60,345.765006780523
1990,"male",65,380.397096919491
1990,"male",70,335.649842734725
1990,"male",75,448.193773830047
1990,"male",80,455.169214706557
1990,"male",85,733.429607679502
1991,"male",0,764.994233998739
1991,"male",1,176.173801825276
1991,"male",5,101.376630477209
1991,"male",10,86.3206952578218
1991,"male",15,160.596642340134
1991,"male",20,192.71597080816
1991,"male",25,136.507145989114
1991,"male",30,153.570539237753
1991,"male",35,152.566810223127
1991,"male",40,178.663764603399
1991,"male",45,188.701054749657
1991,"male",50,226.457765354623
1991,"male",55,274.604783350439
1991,"male",60,301.652602799785
1991,"male",65,373.387193440811
1991,"male",70,339.796363352606
1991,"male",75,372.44233837411
1991,"male",80,452.681785596252
1991,"male",85,750.137037397497
1992,"male",0,768.662090780977
1992,"male",1,140.980418924134
1992,"male",5,77.5392304082737
1992,"male",10,62.434185523545
1992,"male",15,169.176502708961
1992,"male",20,200.393595470733
1992,"male",25,172.197511685906
1992,"male",30,169.176502708961
1992,"male",35,192.337571532211
1992,"male",40,189.007002376146
1992,"male",45,213.742379184341
1992,"male",50,246.715733117234
1992,"male",55,291.023864779105
1992,"male",60,326.268969510139
1992,"male",65,378.633125110531
1992,"male",70,396.871701230187
1992,"male",75,399.315733507798
1992,"male",80,482.399555857455
1992,"male",85,826.22393617879
1993,"male",0,733.673975544092
1993,"male",1,185.440227276049
1993,"male",5,62.2993258366257
1993,"male",10,69.333120689148
1993,"male",15,148.714519739042
1993,"male",20,171.825559968758
1993,"male",25,156.753142427639
1993,"male",30,160.772453771937
1993,"male",35,188.606561171217
1993,"male",40,180.480155885633
1993,"male",45,207.999362067444
1993,"male",50,231.11040229716
1993,"male",55,283.36144977304
1993,"male",60,328.09383309137
1993,"male",65,389.873200396948
1993,"male",70,410.041152780477
1993,"male",75,406.487417263261
1993,"male",80,473.27391079114
1993,"male",85,831.427910225037
1994,"male",0,727.816596671563
1994,"male",1,156.915025746499
1994,"male",5,73.4281851249644
1994,"male",10,75.4399162242785
1994,"male",15,168.985412342384
1994,"male",20,193.126185534153
1994,"male",25,190.108588885182
1994,"male",30,182.061664487925
1994,"male",35,184.809689169588
1994,"male",40,217.266958725922
1994,"male",45,224.308017573521
1994,"male",50,243.419463017005
1994,"male",55,275.185553130962
1994,"male",60,338.084444049181
1994,"male",65,387.258236617963
1994,"male",70,470.302448154696
1994,"male",75,371.16438782345
1994,"male",80,509.973833676122
1994,"male",85,840.903599513291
1995,"male",0,672.717925578258
1995,"male",1,160.855544538396
1995,"male",5,51.2727048216136
1995,"male",10,53.2833991283435
1995,"male",15,130.695129937446
1995,"male",20,176.728255225532
1995,"male",25,151.807420158111
1995,"male",30,153.818114464841
1995,"male",35,163.87158599849
1995,"male",40,183.97852906579
1995,"male",45,206.096166439819
1995,"male",50,245.304705421053
1995,"male",55,324.727130536886
1995,"male",60,353.88219798447
1995,"male",65,418.224415799828
1995,"male",70,471.038958616055
1995,"male",75,385.047959738784
1995,"male",80,469.497120621442
1995,"male",85,867.614593353971
1996,"male",0,572.168590135156
1996,"male",1,147.946839294067
1996,"male",5,64.1780030639644
1996,"male",10,58.7547980856639
1996,"male",15,134.372693915175
1996,"male",20,177.492289723777
1996,"male",25,138.383819106673
1996,"male",30,154.428319872664
1996,"male",35,168.467258042907
1996,"male",40,195.542353085517
1996,"male",45,227.631354617499
1996,"male",50,210.584072553633
1996,"male",55,331.920609596441
1996,"male",60,373.034642809293
1996,"male",65,430.193176788136
1996,"male",70,503.396211532971
1996,"male",75,418.159801213643
1996,"male",80,472.309991298863
1996,"male",85,989.745141002076
1997,"male",0,553.267844522968
1997,"male",1,129.29628975265
1997,"male",5,49.1125441696113
1997,"male",10,69.158480565371
1997,"male",15,134.30777385159
1997,"male",20,164.37667844523
1997,"male",25,164.37667844523
1997,"male",30,149.34222614841
1997,"male",35,186.427208480565
1997,"male",40,205.470848056537
1997,"male",45,228.523674911661
1997,"male",50,263.60406360424
1997,"male",55,273.62703180212
1997,"male",60,380.872791519435
1997,"male",65,409.939399293286
1997,"male",70,497.139222614841
1997,"male",75,465.065724381625
1997,"male",80,411.943992932862
1997,"male",85,937.147526501767
1998,"male",0,563.395069052299
1998,"male",1,118.266054951719
1998,"male",5,57.128518069898
1998,"male",10,70.1578292086466
1998,"male",15,134.302130199409
1998,"male",20,162.365261882868
1998,"male",25,169.381044803733
1998,"male",30,146.329186635177
1998,"male",35,168.378790100752
1998,"male",40,198.446431190172
1998,"male",45,209.471232922959
1998,"male",50,254.572694557089
1998,"male",55,329.339432253895
1998,"male",60,373.841004211788
1998,"male",65,413.931192331015
1998,"male",70,526.18371906485
1998,"male",75,496.11607797543
1998,"male",80,450.012361638319
1998,"male",85,937.108147286923
1999,"male",0,505.425354712888
1999,"male",1,102.288464644275
1999,"male",5,60.1696850848677
1999,"male",10,60.1696850848677
1999,"male",15,123.347854423979
1999,"male",20,144.407244203682
1999,"male",25,163.46097781389
1999,"male",30,160.452493559647
1999,"male",35,157.444009305404
1999,"male",40,174.492086746116
1999,"male",45,218.616522475019
1999,"male",50,260.735302034427
1999,"male",55,287.811660322617
1999,"male",60,362.020938593954
1999,"male",65,462.303747068733
1999,"male",70,533.042323877222
1999,"male",75,511.442323221375
1999,"male",80,420.184967509326
1999,"male",85,965.723445612126
2000,"male",0,485.260498220641
2000,"male",1,82.2135554836622
2000,"male",5,49.127612423164
2000,"male",10,66.1718861209964
2000,"male",15,137.356793917826
2000,"male",20,184.479197670657
2000,"male",25,150.390650274992
2000,"male",30,137.356793917826
2000,"male",35,155.403671950825
2000,"male",40,211.549514720155
2000,"male",45,196.510449692656
2000,"male",50,235.612018764154
2000,"male",55,326.849013264316
2000,"male",60,385.000064703979
2000,"male",65,440.143303138143
2000,"male",70,548.424571336137
2000,"male",75,565.46884503397
