"year","sex","age","deaths"
2010,"male",0,292.123283009871
2010,"male",1,61.8450819691528
2010,"male",5,30.7526038498239
2010,"male",10,51.4727319163687
2010,"male",15,141.405506591033
2010,"male",20,179.499312409087
2010,"male",25,187.842174224781
2010,"male",30,182.847535902508
2010,"male",35,225.977800230144
2010,"male",40,248.047730152399
2010,"male",45,282.80894284101
2010,"male",50,354.340083231437
2010,"male",55,399.13791238544
2010,"male",60,464.635646003145
2010,"male",65,528.825269809343
2010,"male",70,648.86321295975
2010,"male",75,766.519397496087
2010,"male",80,765.54443238869
2010,"male",85,1239.34827259939
2019,"male",0,251.243299454313
2019,"male",1,57.010521992593
2019,"male",5,32.005723302431
2019,"male",10,42.0081665547164
2019,"male",15,165.029481018147
2019,"male",20,246.045962048265
2019,"male",25,269.049589591683
2019,"male",30,235.044441063243
2019,"male",35,257.548886860441
2019,"male",40,316.560421279713
2019,"male",45,385.573525990901
2019,"male",50,502.596167976137
2019,"male",55,583.111086459034
2019,"male",60,648.623252703887
2019,"male",65,709.133760842415
2019,"male",70,818.655820308963
2019,"male",75,908.674635178194
2019,"male",80,1003.19124416556
2019,"male",85,1802.33913763524
2021,"male",0,233.32558358617
2021,"male",1,45.5157039572977
2021,"male",5,27.5100650573676
2021,"male",10,48.5168320949091
2021,"male",15,193.567190575622
2021,"male",20,271.595994854839
2021,"male",25,352.121571078232
2021,"male",30,358.124655965662
2021,"male",35,416.643716842165
2021,"male",40,510.677533476874
2021,"male",45,729.070928908614
2021,"male",50,799.779481397925
2021,"male",55,1040.36482320922
2021,"male",60,1240.4347091776
2021,"male",65,1318.96455520142
2021,"male",70,1377.9839045387
2021,"male",75,1477.01819527296
2021,"male",80,1473.51399152441
2021,"male",85,2384.83218802591
2022,"male",0,274.655373139077
2022,"male",1,59.0102773065184
2022,"male",5,30.0052257490771
2022,"male",10,52.009057965067
2022,"male",15,189.032922219186
2022,"male",20,245.042676950797
2022,"male",25,297.051734915864
2022,"male",30,319.055567131854
2022,"male",35,352.061315455838
2022,"male",40,365.063579947105
2022,"male",45,496.086399051409
2022,"male",50,605.105385939722
2022,"male",55,749.130469535293
2022,"male",60,811.141269416719
2022,"male",65,937.163217562843
2022,"male",70,1097.19108822459
2022,"male",75,1170.20380421401
2022,"male",80,1190.20728804673
2022,"male",85,2244.39088603097
2010,"female",0,241.215148867142
2010,"female",1,55.7239725754797
2010,"female",5,25.0230547777485
2010,"female",10,36.0374351389723
2010,"female",15,64.4062575875824
2010,"female",20,64.7346270753903
2010,"female",25,60.0647393654911
2010,"female",30,56.3971692911052
2010,"female",35,103.782853598475
2010,"female",40,126.470647810864
2010,"female",45,179.188616100747
2010,"female",50,235.592510957198
2010,"female",55,290.65119929129
2010,"female",60,367.414669944669
2010,"female",65,451.164061930927
2010,"female",70,579.332099827844
2010,"female",75,669.083810575575
2010,"female",80,770.513798296875
2010,"female",85,1392.70692362275
2019,"female",0,202.727915574982
2019,"female",1,44.0084634185155
2019,"female",5,24.0033853674062
2019,"female",10,33.5062629297014
2019,"female",15,56.0103253705889
2019,"female",20,59.0098175654779
2019,"female",25,73.5121873226623
2019,"female",30,76.0103253705889
2019,"female",35,108.517942447253
2019,"female",40,164.530129769915
2019,"female",45,225.03859318843
2019,"female",50,287.549764900871
2019,"female",55,422.072108325752
2019,"female",60,501.588188820932
2019,"female",65,570.602238095667
2019,"female",70,689.617810785736
2019,"female",75,781.633214207434
2019,"female",80,946.160297146683
2019,"female",85,2063.34615381729
2021,"female",0,171.252987605126
2021,"female",1,31.5011931171992
2021,"female",5,21.5010022184473
2021,"female",10,34.0013362912631
2021,"female",15,62.5031975540938
2021,"female",20,80.5036270762855
2021,"female",25,120.005058816925
2021,"female",30,138.006061035371
2021,"female",35,169.50658600694
2021,"female",40,252.012122070743
2021,"female",45,409.336305903968
2021,"female",50,522.524244141487
2021,"female",55,696.53307320876
2021,"female",60,884.541950000723
2021,"female",65,969.545481627632
2021,"female",70,1072.55101769143
2021,"female",75,1153.55459704303
2021,"female",80,1248.55984675871
2021,"female",85,2532.12193657776
2022,"female",0,177.647691491253
2022,"female",1,51.0115298434516
2022,"female",5,22.0049736579595
2022,"female",10,31.0070083362157
2022,"female",15,53.0119819941752
2022,"female",20,81.0183121043055
2022,"female",25,92.0207989332852
2022,"female",30,96.0217032347324
2022,"female",35,138.031198399928
2022,"female",40,183.041371791209
2022,"female",45,277.062622875217
2022,"female",50,365.082517507055
2022,"female",55,492.111229078004
2022,"female",60,672.151922643127
2022,"female",65,768.173625877859
2022,"female",70,832.188094701014
2022,"female",75,978.221101703836
2022,"female",80,1030.23285762265
2022,"female",85,2508.56699700738
